id,name,address,phone,nin,assets,lat,lon
77,Khalil Chukwuma,Customer address,2348083057886,58760794856,7,11.161664746382092,5.667996455190179
78,Kingsley Chukwuma,Customer address,2348078080909,58703377923,0,9.263200745643378,9.940915548020307
79,Dahir Chinedu,Customer address,2348068922899,58447849824,6,9.236716777749894,10.46820335927724
80,Wasiu Kamal,Customer address,2348062089929,58409110203,2,10.755606599106885,7.397058120542537
81,John Aliyu,Customer address,2348069826706,59337295137,8,10.0808596634069,9.634691312037068
82,Aminu Nicholas,Customer address,2348067191488,58954862789,4,7.6104345429001885,7.845930273147866
83,Wasiu Paul,Customer address,2348059760201,59178139016,4,9.130994948975767,8.376059915965758
84,Mustapha Chukwuma,Customer address,2348055913404,59055069514,2,7.754636998345312,8.575859897041715
85,John Chukwuma,Customer address,2348052590086,59196943793,6,7.9160226255931345,4.608598602519616
86,John Paul,Customer address,2348094379093,59203586173,7,11.54721081452178,4.219634923712384
87,Kingsley Ahmad,Customer address,2348097308324,58760184156,5,9.369090851711961,9.28625245895812
88,Sagir Charles,Customer address,2348078000300,58551607697,2,11.96361870341776,8.394293857281344
89,Mustapha Shettima,Customer address,2348091952484,58386935337,4,8.3473428826806,8.576906358884838
90,Mustapha Atiku,Customer address,2348058311356,59250336036,8,11.178600698321546,9.38059822473219
91,Kingsley Ahmad,Customer address,2348050841222,58693923192,4,11.372992938358255,8.234055064617053
92,John Charles,Customer address,2348056430105,58675339753,0,7.085111402826466,4.226731283972888
93,Aminu Shettima,Customer address,2348057402915,58698784945,5,7.035777712671141,3.7201855625143363
94,Ronald Nicholas,Customer address,2348079411089,58575442958,7,11.049178468433983,9.803981566444133
95,Ronald Ahmad,Customer address,2348075535894,58803658767,4,7.680291038347253,11.139735299476516
96,Jacob Khalid,Customer address,2348057629265,58862726129,8,8.808357214609822,4.086229969911799
97,Sunday Atiku,Customer address,2348061878996,59305236640,2,10.206829932010162,10.509661742985744
98,Mustapha Abubakar,Customer address,2348054508267,59182561033,5,9.776333031017192,9.978681480490478
99,Sunday Shettima,Customer address,2348056015406,59283364685,9,11.539772785727232,6.209668548746199
100,Mustapha Khalid,Customer address,2348054301835,59059530378,0,11.530954855787622,7.81666817926186
101,Yazid Atiku,Customer address,2348068435213,59169411194,8,8.3019304488067,7.9150255838064965
